"index","GCM","SSP","RUN","PERIOD","Pl","Lw","Fd","Ac","At","Py","Ep","Pj","Sb","Sx","Bb","Bl","Bg","Cw","Dr","Hw","Mb","Pw","Ss","Bc","Ps","Yp","Oc","Ba","Bp","Yc","Hm","Act","Sw"
1,"obs","obs",NA,"1961_1990",17162,8499,23070,10108,0,0,3662,0,0,116,0,116,0,16380,10146,28773,11840,5182,3163,0,0,0,0,13326,0,10087,11727,0,0
2,"obs","obs",NA,"2001_2020",18106,8254,24472,9208,0,0,3574,0,0,46,0,46,0,15572,10071,27757,13087,4772,2410,0,0,0,0,10512,0,8251,9490,0,0
3,"ACCESS-ESM1-5","ssp245","ensembleMean","2001_2020",17507,5985,26798,8228,0,0,3442,0,0,8,0,8,0,14277,7541,25544,13070,4722,692,0,0,0,0,5421,0,6066,6488,0,0
4,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2001_2020",16816,6498,27004,6182,0,0,2288,0,0,5,0,5,0,14076,8966,25462,12122,3797,384,0,0,0,0,4790,0,5808,6124,0,0
5,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2001_2020",17268,6927,26760,6748,0,0,2652,0,0,10,0,10,0,13999,9106,25321,12735,4192,469,0,0,0,0,5538,0,6432,6918,0,0
6,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2001_2020",17219,6621,26937,6210,0,0,2669,0,0,8,0,8,0,14154,8714,25270,12666,4176,387,0,0,0,0,4981,0,5998,6290,0,0
7,"CNRM-ESM2-1","ssp245","ensembleMean","2001_2020",18282,7600,23563,9122,0,0,3574,0,0,22,0,22,0,16616,10060,28313,12704,4398,2184,0,0,0,0,11002,0,8375,9479,0,0
8,"CNRM-ESM2-1","ssp245","r1i1p1f2","2001_2020",18494,7192,23476,8974,0,0,3579,0,0,21,0,21,0,16803,10038,28226,12801,4071,2074,0,0,0,0,10787,0,8206,9255,0,0
9,"CNRM-ESM2-1","ssp245","r2i1p1f2","2001_2020",17819,7980,24539,7944,0,0,3571,0,0,17,0,17,0,16398,9955,27763,12724,4093,1960,0,0,0,0,9690,0,7818,8808,0,0
10,"CNRM-ESM2-1","ssp245","r3i1p1f2","2001_2020",18620,6556,22850,9171,0,0,3546,0,0,20,0,20,0,17228,10043,28488,12538,3964,2168,0,0,0,0,11401,0,8387,9482,0,0
11,"EC-Earth3","ssp245","ensembleMean","2001_2020",17198,6688,25061,7948,0,0,3582,0,0,14,0,14,0,16413,8662,27220,12225,3770,1478,0,0,0,0,8480,0,7042,7800,0,0
12,"EC-Earth3","ssp245","r15i1p1f1","2001_2020",18121,7386,24368,8682,0,0,3602,0,0,16,0,16,0,16319,9660,27870,12869,3966,1671,0,0,0,0,9498,0,7503,8347,0,0
13,"EC-Earth3","ssp245","r1i1p1f1","2001_2020",14274,5978,26052,4788,0,0,1668,0,0,8,0,8,0,16639,9938,26924,9920,2314,1098,0,0,0,0,7381,0,6107,6982,0,0
14,"EC-Earth3","ssp245","r4i1p1f1","2001_2020",15666,5106,26373,8244,0,0,3658,0,0,26,0,26,0,15139,6836,25621,11590,4367,1149,0,0,0,0,6968,0,6094,6707,0,0
15,"GFDL-ESM4","ssp245","ensembleMean","2001_2020",17686,8200,24732,8380,0,0,3593,0,0,28,0,28,0,15988,10056,27858,12718,4348,2116,0,0,0,0,9778,0,7834,8909,0,0
16,"GFDL-ESM4","ssp245","r1i1p1f1","2001_2020",17618,8360,25050,9180,0,0,3630,0,0,40,0,40,0,15311,10062,27786,12918,4716,2308,0,0,0,0,9772,0,7936,9116,0,0
17,"GFDL-ESM4","ssp245","r2i1p1f1","2001_2020",17658,7946,24330,7292,0,0,3577,0,0,24,0,24,0,16836,10084,27867,12396,3904,1987,0,0,0,0,9949,0,7718,8726,0,0
18,"GFDL-ESM4","ssp245","r3i1p1f1","2001_2020",17556,7834,25083,8465,0,0,3601,0,0,21,0,21,0,15762,9604,27593,12701,4384,1974,0,0,0,0,9236,0,7601,8602,0,0
19,"GISS-E2-1-G","ssp245","ensembleMean","2001_2020",17734,7513,24513,9392,0,0,3586,0,0,30,0,30,0,15633,9360,27647,12752,4670,2202,0,0,0,0,10147,0,8159,9275,0,0
20,"GISS-E2-1-G","ssp245","r1i1p3f1","2001_2020",17027,6863,24776,9725,0,0,3636,0,0,47,0,47,0,15424,8660,27267,12373,4640,2228,0,0,0,0,9772,0,8197,9340,0,0
21,"GISS-E2-1-G","ssp245","r2i1p3f1","2001_2020",17873,7984,24167,9678,0,0,3601,0,0,50,0,50,0,15826,9912,27866,12872,4668,2500,0,0,0,0,10787,0,8547,9844,0,0
22,"GISS-E2-1-G","ssp245","r3i1p3f1","2001_2020",18001,7648,25192,8931,0,0,3588,0,0,18,0,18,0,15258,9408,27363,13121,4610,1916,0,0,0,0,9133,0,7467,8437,0,0
23,"MIROC6","ssp245","ensembleMean","2001_2020",18604,7676,25252,7905,0,0,3566,0,0,8,0,8,0,15361,9496,26801,13483,4623,1608,0,0,0,0,8629,0,7130,7939,0,0
24,"MIROC6","ssp245","r1i1p1f1","2001_2020",18360,7801,25656,8340,0,0,3502,0,0,10,0,10,0,15053,9598,26784,13576,4631,1744,0,0,0,0,8335,0,7134,8047,0,0
25,"MIROC6","ssp245","r2i1p1f1","2001_2020",18335,8298,25778,7740,0,0,3580,0,0,12,0,12,0,14024,9675,25822,13950,4976,1666,0,0,0,0,7846,0,8510,9358,0,0
