classification,colour
BAFAun,#e2f5f1
BGxh1,#e53443
BGxh2,#d72828
BGxh3,#e75e63
BGxw1,#d64945
BGxw2,#d71515
BWBSdk,#7687e3
BWBSmk,#1633f0
BWBSmw,#1645f0
BWBSvk,#2c3be0
BWBSwk1,#7a88e2
BWBSwk2,#5b69c9
BWBSwk3,#5f5dcc
CDFmm,#faea05
CMAun,#e8e9f3
CMAwh,#f3e9ee
CWHdm3,#79d31f
CWHds1,#36d01b
CWHds2,#2dd42a
CWHmm1,#76e7b0
CWHmm2,#7edd69
CWHms3,#60ff17
CWHms4,#87cb78
CWHms5,#24da27
CWHws3,#52ba7e
CWHvh1,#22e514
CWHvh2,#48eb4d
CWHvh3,#4de15a
CWHvm1,#24ac12
CWHvm3,#1ea444
CWHvm2,#258d0e
CWHvm4,#20823d
CWHwh1,#13d219
CWHwh2,#68e41a
CWHwm,#60c87b
CWHws1,#41e377
CWHws2,#41d45c
CWHdm1,#40d964
CWHdm2,#5dd991
CWHxs,#c4e748
ESSFdc1,#c45ad6
ESSFdc2,#b855cc
ESSFdc3,#b782df
ESSFdcp,#8817de
ESSFdcw,#9732de
ESSFdh1,#d0abee
ESSFdh2,#c08fe3
ESSFdk1,#7015df
ESSFdk2,#a622ce
ESSFdkp,#c27ad8
ESSFdkw,#5f2af0
ESSFdv1,#bc67dd
ESSFdv2,#cb7ee0
ESSFdvp,#981dc8
ESSFdvw,#a01dc8
ESSFmc,#c482d6
ESSFmcp,#b23ad3
ESSFmcw,#987db7
ESSFmh,#cd79e0
ESSFmk,#a317d5
ESSFmkp,#b350d6
ESSFmkw,#b64fcf
ESSFmm1,#b861d4
ESSFmm2,#ab2bcb
ESSFmm3,#c41be5
ESSFmmp,#c684e7
ESSFmmw,#c360ed
ESSFmv1,#b54dd7
ESSFmv2,#be79e2
ESSFmv3,#ad3fe4
ESSFmv4,#974ceb
ESSFmvp,#af47cb
ESSFmw2,#a16cd2
ESSFun1,#d623c1
ESSFmw1,#ae3ae0
ESSFmwp,#ba6dd4
ESSFunp,#a52eea
ESSFmww,#e189d1
ESSFun,#921ad2
ESSFvc,#b525d1
ESSFvcp,#bf4dc9
ESSFvcw,#ce6ac4
ESSFwc2,#c31aed
ESSFwc3,#ca3fec
ESSFwc4,#db45eb
ESSFwcp,#b22dcf
ESSFwcw,#e613dc
ESSFwh1,#cd35da
ESSFwh2,#af2cd6
ESSFwh3,#b125db
ESSFwk1,#ac5bcf
ESSFwk2,#bc1cd8
ESSFwm1,#d484ee
ESSFwm2,#b861ce
ESSFwm3,#d520ec
ESSFwm4,#c556e6
ESSFwmp,#c35ad8
ESSFwmw,#e115bf
ESSFwv,#c031d3
ESSFwvp,#a13aca
ESSFwvw,#d76ce5
ESSFxc1,#a11ada
ESSFxc2,#ae4ad6
ESSFxc3,#871fd0
ESSFxcp,#ad41ec
ESSFxcw,#a553df
ESSFxv1,#a881eb
ESSFxv2,#441aec
ESSFxvp,#7145de
ESSFxvw,#8c5fca
ICHdk,#71de73
ICHdm,#71ef65
ICHdw1,#4aef58
ICHdw3,#1cd52f
ICHdw4,#4ddf42
ICHmc1,#5cee59
ICHmc1a,#80d07d
ICHmc2,#20dc3f
ICHmk1,#64e46f
ICHmk2,#0ddd18
ICHmk3,#0ddd0d
ICHmk4,#1de11d
ICHmk5,#41ca3c
ICHmm,#39e639
ICHmw1,#45e732
ICHmw2,#96db71
ICHmw3,#7cdc71
ICHmw4,#73d582
ICHmw5,#92e681
ICHvc,#81e689
ICHvk1,#16e024
ICHvk2,#30da4c
ICHwc,#6de380
ICHwk1,#93d478
ICHwk2,#92e188
ICHwk3,#4ccc38
ICHwk4,#85df62
ICHxm1,#a4e949
ICHxw,#75e67d
ICHxwa,#80cd1a
IDFdc,#ded822
IDFdh,#eedb2c
IDFdk1,#d7d768
IDFdk2,#cdc753
IDFdk3,#cdc553
IDFdk4,#eae30e
IDFdk5,#e4e63e
IDFdm1,#e9e56e
IDFdm2,#e9d924
IDFdw,#cec622
IDFmw2,#ddd313
IDFww,#e9e55c
ICHun,#98e993
IDFxc,#cec819
IDFxh1,#e8e983
IDFxh2,#d7da76
IDFxk,#e0ec6d
IDFxm,#e0ec6d
IDFxw,#e8e785
IDFxx1,#c8c654
IDFxx2,#eded2a
IMAun,#e9e4f4
MHmm1,#a75fef
MHun,#924dd3
MHmm2,#984fcb
MHmmp,#9a6bcd
MHunp,#a748da
MHvh,#7340a2
MHvhp,#b38dcd
MHwh,#b969d8
MHwhp,#bb53ef
MHms,#876f9b
MHmsp,#dbc5e3
MSdc1,#e760af
MSdc2,#f066e0
MSdc3,#cf2c5d
MSdk,#d23e90
MSdm1,#e03a7a
MSdm2,#db4fb8
MSdm3,#d12785
MSdv,#dc70af
MSdw,#c96caa
MSun,#e15989
MSxk1,#df82e3
MSxk2,#e133e1
MSxk3,#cd47bb
MSxv,#cb1b5e
PPxh1,#db8b28
PPxh2,#c36c09
SBPSdc,#2ad1e0
SBPSmc,#3ac6cd
SBPSmk,#6ac6c9
SBPSxc,#76e4e5
SBSdh1,#2955e4
SBSdh2,#129ee9
SBSdk,#3b9bd6
SBSdw1,#3ea8ea
SBSdw2,#0ebbe6
SBSdw3,#5964e3
SBSmc1,#55b5f0
SBSmc2,#5e91c8
SBSmc3,#2cb3ec
SBSmh,#86a7e0
SBSmk1,#6d8cd4
SBSmk2,#448cea
SBSmm,#12b7d8
SBSmw,#7aabd5
SBSun,#2f93f0
SBSvk,#1672c9
SBSwk1,#1479f4
