"BGC","SS_NoSpace","Spp","ESuit"
"BAFAun","BAFAun/00","X",1
"BAFAunp","BAFAunp/00","X",1
"BGdh_OR","BGdh_OR/110","Ju",1
"BGdh_OR","BGdh_OR/110","Jw",3
"BGdh_OR","BGdh_OR/110","Pn",3
"BGdh_OR","BGdh_OR/111","Aa",1
"BGdh_OR","BGdh_OR/111","Act",5
"BGdh_OR","BGdh_OR/111","Py",5
"BGdh_OR","BGdh_OR/Gg1","X",1
"BGdh_OR","BGdh_OR/Gg2","Ju",3
"BGdh_OR","BGdh_OR/Gg2","Jw",3
"BGdw_WA","BGdw_WA/110","Fd",1
"BGdw_WA","BGdw_WA/110","Py",1
"BGdw_WA","BGdw_WA/111","Act",2
"BGdw_WA","BGdw_WA/Gg","X",1
"BGmk_ID","BGmk_ID/110","Fd",2
"BGmk_ID","BGmk_ID/110","Jr",2
"BGmk_ID","BGmk_ID/110","Om",3
"BGmk_ID","BGmk_ID/111","Act",1
"BGmk_ID","BGmk_ID/111","At",2
"BGmk_ID","BGmk_ID/111","Fd",2
"BGmk_ID","BGmk_ID/Gg","X",1
"BGmk_MT","BGmk_MT/110","Fd",1
"BGmk_MT","BGmk_MT/110","Jr",3
"BGmk_MT","BGmk_MT/111","Aa",2
"BGmk_MT","BGmk_MT/111","Act",5
"BGmk_MT","BGmk_MT/111","Fd",2
"BGmk_MT","BGmk_MT/Gg1","X",1
"BGmk_MT","BGmk_MT/Gg2","Jr",3
"BGmm_MT","BGmm_MT/110","Fd",1
"BGmm_MT","BGmm_MT/110","Jr",3
"BGmm_MT","BGmm_MT/111","Act",2
"BGmm_MT","BGmm_MT/111","Fd",5
"BGmm_MT","BGmm_MT/Gg1","X",1
"BGmm_MT","BGmm_MT/Gg2","Jr",3
"BGmw_WA","BGmw_WA/110","Fd",2
"BGmw_WA","BGmw_WA/110","Py",1
"BGmw_WA","BGmw_WA/111","Act",2
"BGmw_WA","BGmw_WA/111","Fd",5
"BGmw_WA","BGmw_WA/111","Py",5
"BGmw_WA","BGmw_WA/Gg","X",1
"BGwm_WA","BGwm_WA/110","Fd",1
"BGwm_WA","BGwm_WA/110","Py",1
"BGwm_WA","BGwm_WA/111","Act",2
"BGwm_WA","BGwm_WA/111","Fd",5
"BGwm_WA","BGwm_WA/111","Py",5
"BGwm_WA","BGwm_WA/Gg","X",1
"BGxh_WA","BGxh_WA/110","Py",2
"BGxh_WA","BGxh_WA/110","Qg",3
"BGxh_WA","BGxh_WA/111","Act",2
"BGxh_WA","BGxh_WA/111","Fd",5
"BGxh_WA","BGxh_WA/111","Py",5
"BGxh_WA","BGxh_WA/Gg1","X",1
"BGxh_WA","BGxh_WA/Gg2","Jw",3
"BGxh1","BGxh1/04","Fd",3
"BGxh1","BGxh1/04","Py",2
"BGxh1","BGxh1/05","At",3
"BGxh1","BGxh1/05","Fd",2
"BGxh1","BGxh1/05","Py",2
"BGxh1","BGxh1/06","Act",2
"BGxh1","BGxh1/06","At",3
"BGxh1","BGxh1/06","Ep",3
"BGxh1","BGxh1/06","Fd",3
"BGxh1","BGxh1/06","Py",2
"BGxh1","BGxh1/07","Act",2
"BGxh1","BGxh1/07","At",3
"BGxh1","BGxh1/07","Ep",3
"BGxh1","BGxh1/07","Fd",2
"BGxh1","BGxh1/07","Pl",2
"BGxh1","BGxh1/07","Py",2
"BGxh1","BGxh1/07","Sx",2
"BGxh1","BGxh1/Gg","X",1
"BGxh2","BGxh2/03","Py",2
"BGxh2","BGxh2/04","Fd",3
"BGxh2","BGxh2/04","Py",2
"BGxh2","BGxh2/05","Fd",2
"BGxh2","BGxh2/05","Py",1
"BGxh2","BGxh2/05","X",1
"BGxh2","BGxh2/07","Act",2
"BGxh2","BGxh2/07","At",3
"BGxh2","BGxh2/07","Ep",3
"BGxh2","BGxh2/07","Fd",3
"BGxh2","BGxh2/07","Py",2
"BGxh2","BGxh2/07","Sx",3
"BGxh2","BGxh2/Gg","X",1
"BGxh2","BGxh2/Gs","X",1
"BGxh3","BGxh3/110","Fd",2
"BGxh3","BGxh3/111","Fd",2
"BGxh3","BGxh3/112","Act",1
"BGxh3","BGxh3/113","Act",1
"BGxh3","BGxh3/113","Fd",2
"BGxh3","BGxh3/Gg","X",1
"BGxw1","BGxw1/01","X",1
"BGxw1","BGxw1/03","Fd",3
"BGxw1","BGxw1/03","Py",2
"BGxw1","BGxw1/04","X",1
"BGxw1","BGxw1/05","Fd",3
"BGxw1","BGxw1/05","Py",2
"BGxw1","BGxw1/08","At",3
"BGxw1","BGxw1/08","Fd",3
"BGxw1","BGxw1/Gg","X",1
"BGxw2","BGxw2/110","Fd",2
"BGxw2","BGxw2/111","Fd",2
"BGxw2","BGxw2/112","Act",2
"BGxw2","BGxw2/113","Fd",1
"BGxw2","BGxw2/114","At",1
"BGxw2","BGxw2/115","At",1
"BGxw2","BGxw2/Gg","X",1
"BSJPap","BSJPap/a","Ep",3
"BSJPap","BSJPap/a","Pj",1
"BSJPap","BSJPap/b","Acb",3
"BSJPap","BSJPap/b","At",1
"BSJPap","BSJPap/b","Ep",3
"BSJPap","BSJPap/b","Pj",1
"BSJPap","BSJPap/b","Sb",2
"BSJPap","BSJPap/b","Sx",2
"BSJPap","BSJPap/c","Ep",3
"BSJPap","BSJPap/c","Pj",1
"BSJPap","BSJPap/c","Sb",1
"BSJPap","BSJPap/c","Sx",2
"BSJPap","BSJPap/d","Ep",3
"BSJPap","BSJPap/d","Pj",1
"BSJPap","BSJPap/d","Sb",1
"BSJPap","BSJPap/e","Acb",3
"BSJPap","BSJPap/e","At",1
"BSJPap","BSJPap/e","Ep",2
"BSJPap","BSJPap/e","Sb",3
"BSJPap","BSJPap/e","Sx",1
"BSJPap","BSJPap/f","Sb",1
"BSJPap","BSJPap/g","Lt",2
"BSJPap","BSJPap/g","Sb",1
"BSJPap","BSJPap/h","Lt",1
"BSJPap","BSJPap/h","Sb",3
"BSJPku","BSJPku/a","Ep",3
"BSJPku","BSJPku/a","Pj",1
"BSJPku","BSJPku/b","Acb",3
"BSJPku","BSJPku/b","At",1
"BSJPku","BSJPku/b","Ep",3
"BSJPku","BSJPku/b","Pj",1
"BSJPku","BSJPku/b","Sb",2
"BSJPku","BSJPku/b","Sx",2
"BSJPku","BSJPku/c","Ep",3
"BSJPku","BSJPku/c","Pj",1
"BSJPku","BSJPku/c","Sb",1
"BSJPku","BSJPku/c","Sx",2
"BSJPku","BSJPku/d","Ep",3
"BSJPku","BSJPku/d","Pj",1
"BSJPku","BSJPku/d","Sb",1
"BSJPku","BSJPku/e","Acb",3
"BSJPku","BSJPku/e","At",1
"BSJPku","BSJPku/e","Ep",2
"BSJPku","BSJPku/e","Sb",3
"BSJPku","BSJPku/e","Sx",1
"BSJPku","BSJPku/f","Sb",1
"BSJPku","BSJPku/g","Lt",2
"BSJPku","BSJPku/g","Sb",1
"BSJPku","BSJPku/h","Lt",1
"BSJPku","BSJPku/h","Sb",3
"BSJPpa","BSJPpa/a","Ep",3
"BSJPpa","BSJPpa/a","Pj",1
"BSJPpa","BSJPpa/b","Acb",3
"BSJPpa","BSJPpa/b","At",1
"BSJPpa","BSJPpa/b","Ep",3
"BSJPpa","BSJPpa/b","Pj",1
"BSJPpa","BSJPpa/b","Sb",2
"BSJPpa","BSJPpa/b","Sx",2
"BSJPpa","BSJPpa/c","Ep",3
"BSJPpa","BSJPpa/c","Pj",1
"BSJPpa","BSJPpa/c","Sb",1
"BSJPpa","BSJPpa/c","Sx",2
"BSJPpa","BSJPpa/d","Ep",3
"BSJPpa","BSJPpa/d","Pj",1
"BSJPpa","BSJPpa/d","Sb",1
"BSJPpa","BSJPpa/e","Acb",3
"BSJPpa","BSJPpa/e","At",1
"BSJPpa","BSJPpa/e","Ep",2
"BSJPpa","BSJPpa/e","Sb",3
"BSJPpa","BSJPpa/e","Sx",1
"BSJPpa","BSJPpa/f","Sb",1
"BSJPpa","BSJPpa/g","Lt",2
"BSJPpa","BSJPpa/g","Sb",1
"BSJPpa","BSJPpa/h","Lt",1
"BSJPpa","BSJPpa/h","Sb",3
"BWBScm","BWBScm/a","Pj",1
"BWBScm","BWBScm/a","Pl",1
"BWBScm","BWBScm/b","At",3
"BWBScm","BWBScm/b","Ep",3
"BWBScm","BWBScm/b","Pj",2
"BWBScm","BWBScm/b","Pl",1
"BWBScm","BWBScm/b","Sb",3
"BWBScm","BWBScm/b","Sx",2
"BWBScm","BWBScm/c","Pj",1
"BWBScm","BWBScm/c","Pl",1
"BWBScm","BWBScm/c","Sb",2
"BWBScm","BWBScm/d","Acb",3
"BWBScm","BWBScm/d","At",1
"BWBScm","BWBScm/d","Bb",3
"BWBScm","BWBScm/d","Ep",3
"BWBScm","BWBScm/d","Pl",1
"BWBScm","BWBScm/d","Sb",3
"BWBScm","BWBScm/d","Sx",1
"BWBScm","BWBScm/e","Acb",1
"BWBScm","BWBScm/e","At",1
"BWBScm","BWBScm/e","Bb",3
"BWBScm","BWBScm/e","Ep",3
"BWBScm","BWBScm/e","Sx",1
"BWBScm","BWBScm/f","Acb",2
"BWBScm","BWBScm/f","At",2
"BWBScm","BWBScm/f","Bb",3
"BWBScm","BWBScm/f","Ep",2
"BWBScm","BWBScm/f","Pl",3
"BWBScm","BWBScm/f","Sx",1
"BWBScm","BWBScm/g","Pj",2
"BWBScm","BWBScm/g","Pl",2
"BWBScm","BWBScm/g","Sb",1
"BWBScm","BWBScm/h","Ep",3
"BWBScm","BWBScm/h","Sb",1
"BWBScm","BWBScm/h","Sx",1
"BWBScm","BWBScm/i","Sb",1
"BWBScm","BWBScm/j","Lt",2
"BWBScm","BWBScm/j","Sb",1
"BWBScm","BWBScm/k","Lt",1
"BWBScm","BWBScm/k","Sb",3
"BWBSdk","BWBSdk/101","Acb",3
"BWBSdk","BWBSdk/101","At",1
"BWBSdk","BWBSdk/101","Bl",2
"BWBSdk","BWBSdk/101","Ep",3
"BWBSdk","BWBSdk/101","Pl",1
"BWBSdk","BWBSdk/101","Sb",3
"BWBSdk","BWBSdk/101","Sx",1
"BWBSdk","BWBSdk/102","At",3
"BWBSdk","BWBSdk/102","Bl",3
"BWBSdk","BWBSdk/102","Pl",2
"BWBSdk","BWBSdk/102","Sb",5
"BWBSdk","BWBSdk/102","Sx",3
"BWBSdk","BWBSdk/103","At",2
"BWBSdk","BWBSdk/103","Bl",2
"BWBSdk","BWBSdk/103","Ep",3
"BWBSdk","BWBSdk/103","Pl",1
"BWBSdk","BWBSdk/103","Sb",3
"BWBSdk","BWBSdk/103","Sx",1
"BWBSdk","BWBSdk/104","At",2
"BWBSdk","BWBSdk/104","Bl",3
"BWBSdk","BWBSdk/104","Pl",2
"BWBSdk","BWBSdk/104","Sb",2
"BWBSdk","BWBSdk/104","Sx",1
"BWBSdk","BWBSdk/110","Acb",2
"BWBSdk","BWBSdk/110","At",2
"BWBSdk","BWBSdk/110","Bl",3
"BWBSdk","BWBSdk/110","Ep",3
