"index","GCM","SSP","RUN","PERIOD","BAFA","CDF","CMA","CWH","ESSF","IDF","IMA","MH","MS"
1,"obs","obs",NA,"1961_1990",741,2142,25827,39025,596,77,67,14072,16
2,"obs","obs",NA,"2001_2020",355,349,19434,38631,227,19,20,6240,1
3,"ACCESS-ESM1-5","ssp245","ensembleMean","2001_2020",380,584,16314,38753,385,46,2,4705,11
4,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2001_2020",466,242,14698,38785,386,56,4,5917,11
5,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2001_2020",591,470,15778,38660,495,63,5,7705,14
6,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2001_2020",465,267,14831,38755,441,61,3,4208,12
7,"CNRM-ESM2-1","ssp245","ensembleMean","2001_2020",264,1901,21619,38095,121,20,7,9631,1
8,"CNRM-ESM2-1","ssp245","r1i1p1f2","2001_2020",268,1305,21479,38245,132,11,10,9416,2
9,"CNRM-ESM2-1","ssp245","r2i1p1f2","2001_2020",269,1343,21475,38221,283,29,7,9136,9
10,"CNRM-ESM2-1","ssp245","r3i1p1f2","2001_2020",294,1496,21602,38535,91,3,10,9822,NA
11,"EC-Earth3","ssp245","ensembleMean","2001_2020",230,1112,19575,38393,297,20,3,6769,6
12,"EC-Earth3","ssp245","r15i1p1f1","2001_2020",331,1494,19427,38075,194,21,6,7061,3
13,"EC-Earth3","ssp245","r1i1p1f1","2001_2020",241,529,18998,38834,355,12,4,7240,11
14,"EC-Earth3","ssp245","r4i1p1f1","2001_2020",453,1678,18422,37747,272,35,NA,5663,9
15,"GFDL-ESM4","ssp245","ensembleMean","2001_2020",380,1573,21953,37873,403,49,17,9683,10
16,"GFDL-ESM4","ssp245","r1i1p1f1","2001_2020",410,1827,22156,38006,402,62,20,10394,5
17,"GFDL-ESM4","ssp245","r2i1p1f1","2001_2020",429,1286,21972,37640,463,36,8,9627,13
18,"GFDL-ESM4","ssp245","r3i1p1f1","2001_2020",344,1508,21445,37998,342,46,11,9048,10
19,"GISS-E2-1-G","ssp245","ensembleMean","2001_2020",357,1988,20344,38035,137,37,5,8926,2
20,"GISS-E2-1-G","ssp245","r1i1p3f1","2001_2020",445,1806,20649,38309,166,41,5,8819,NA
21,"GISS-E2-1-G","ssp245","r2i1p3f1","2001_2020",495,1741,21313,38394,177,29,11,10157,3
22,"GISS-E2-1-G","ssp245","r3i1p3f1","2001_2020",319,1800,19850,37725,147,38,2,8171,1
23,"MIROC6","ssp245","ensembleMean","2001_2020",218,1179,19678,38132,77,13,4,7302,NA
24,"MIROC6","ssp245","r1i1p1f1","2001_2020",206,1333,19614,37826,98,15,5,6989,2
25,"MIROC6","ssp245","r2i1p1f1","2001_2020",227,1346,19834,37930,79,11,4,7853,NA
26,"MPI-ESM1-2-HR","ssp245","ensembleMean","2001_2020",411,1408,19922,37876,338,37,7,8721,11
27,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2001_2020",505,1470,18680,37755,409,42,3,9364,11
28,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2001_2020",304,1277,20217,37883,224,36,6,8476,11
29,"MRI-ESM2-0","ssp245","ensembleMean","2001_2020",185,1270,19340,38354,166,20,4,6946,NA
30,"MRI-ESM2-0","ssp245","r1i1p1f1","2001_2020",185,1270,19340,38354,166,20,4,6946,NA
